domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
4threckless.com,Bodywear Leaning,0.5,4th Reckless,4th Reckless,United Kingdom,United Kingdom,e-com retailers,bodywear:bra;generalist:home;vision_screenshot:0.45,0.34,0.45,http+vision
cuissoh.com,Bodywear Leaning,0.5,Cuissoh,Cuissoh,France,France,e-com retailers,bodywear:shorty;vision_screenshot:0.00,0.5,0.0,http+vision
girlfriend.com,Bodywear Leaning,0.5,Girlfriend Collective,Girlfriend Collective,United States,United States,e-com retailers,"bodywear:bra,bras,intimates;generalist:jackets;vision_screenshot:0.00",0.7033333333333333,0.0,http+vision
janira.com,Bodywear Leaning,0.5,Janira,Janira,Spain,Spain,e-com retailers,"bodywear:bra,boxers,slips,boxer,tanga;generalist:baby;vision_screenshot:0.00",0.7817307692307692,0.0,http+vision
rosemunde.com,Bodywear Leaning,0.5,Rosemunde,Rosemunde,Denmark,Denmark,e-com retailers,"bodywear:underwear,nightwear,swimwear;generalist:coats,jackets,shoes;vision_screenshot:0.30",0.25,0.3,http+vision
palomacasile.com,Bodywear Leaning,0.5,PALOMA CASILE,PALOMA CASILE,France,France,HS fairs,bodywear:lingerie;generalist:home;vision_screenshot:0.00,0.6928571428571428,0.0,http+vision
willy-hermann.com,Bodywear Leaning,0.5,WILLY HERMMANN,WILLY HERMMANN,Austria,Austria,HS fairs,"bodywear:shapewear,swimwear;generalist:home,beauty;vision_screenshot:0.00",0.7074074074074074,0.0,http+vision
penn-ts.com,Bodywear Leaning,0.5,PENN ITALIA SRL/PENN TEXTILE SOLUTIONS GMBH,PENN ITALIA SRL/PENN TEXTILE SOLUTIONS GMBH|Penn Textile Solutions GmbH,Germany,Germany,Dealfront|HS fairs,bodywear:lingerie;generalist:home;vision_screenshot:0.00,0.5875,0.0,http+vision
moonandmellow.com,Bodywear Leaning,0.5,MOON AND MELLOW,MOON AND MELLOW,United Kingdom,United Kingdom,HS fairs,bodywear:sleepwear;generalist:home;vision_screenshot:0.00,0.5285714285714286,0.0,http+vision
sophiehallette.com,Bodywear Leaning,0.5,SOPHIE HALLETTE,Dentelle Sophie Hallette|SOPHIE HALLETTE,France,France,Dealfront|HS fairs,bodywear:lingerie;generalist:accessories;vision_screenshot:0.00,0.6928571428571428,0.0,http+vision
esqudo.co,Bodywear Leaning,0.5,ESQUDO,ESQUDO,,,HS fairs,"bodywear:swimwear,boxer;generalist:accessories;vision_screenshot:0.00",0.7657894736842106,0.0,http+vision
