domain,label,confidence,text_score,vision_score,reasons,image_count,error,started_at,finished_at,stage_used,nav_count,heading_count
zedesa.es,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:31:49.985932,2025-11-07T16:31:57.217756,playwright,0,0
redpointbeachwear.com,Pure Bodywear,0.8940476190476191,0.8940476190476191,,"bodywear:bikini,bañador;generalist:kids",0,,2025-11-07T16:31:57.494408,2025-11-07T16:32:00.112557,http,77,10
ltencate.com,Error,0.0,,,,0,Firecrawl API error: 408,2025-11-07T16:32:00.371545,2025-11-07T16:36:19.639423,,0,0
conzelmann.de,Pure Bodywear,0.8821428571428572,0.8821428571428572,,"bodywear:loungewear,bh,slips,string,hipster;generalist:home",0,,2025-11-07T16:36:20.089209,2025-11-07T16:36:20.596362,http,61,7
hanes.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:36:20.857822,2025-11-07T16:36:23.544925,playwright,0,0
groupechantelle.com,Error,0.0,,,,0,Firecrawl API error: 500,2025-11-07T16:36:23.838455,2025-11-07T16:36:38.070039,,0,0
onskinery.com,Bodywear Leaning,0.525,0.2,0.85,"bodywear:unterwäsche;generalist:baby,schuhe;vision_screenshot:0.85",1,,2025-11-07T16:36:38.378929,2025-11-07T16:36:43.200636,http+vision,46,9
isabodywear.ch,Pure Bodywear,0.896875,0.896875,,"bodywear:pyjamas,loungewear,slip,boxershorts,pyjama;generalist:jacken",0,,2025-11-07T16:36:43.473346,2025-11-07T16:36:44.045497,http,99,10
colect.io,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T16:36:44.311892,2025-11-07T16:36:51.278517,playwright,0,0
comfyballs.no,Pure Bodywear,0.972972972972973,0.972972972972973,,"bodywear:bh,string,hipster",0,,2025-11-07T16:36:51.549512,2025-11-07T16:36:52.001330,http,112,10
musbombon.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:36:52.262546,2025-11-07T16:36:55.974657,playwright,0,0
www.sassamode.com,Pure Bodywear,0.8571428571428571,0.8571428571428571,,"bodywear:panties,loungewear,slips,unterwäsche,bademode",0,,2025-11-07T16:36:56.240084,2025-11-07T16:36:56.473964,http,61,10
denario.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:36:56.735950,2025-11-07T16:37:04.425060,playwright,0,0
agentur-lucia-trommer.de,Generalist,1.0,0.0,,generalist:home,0,,2025-11-07T16:37:04.717638,2025-11-07T16:37:05.775899,http,34,1
miss-perfect.shop,Pure Bodywear,0.7256578947368421,0.7013157894736841,0.75,"bodywear:shapewear,bh,slips,dessous;generalist:accessoires;vision_screenshot:0.75",1,,2025-11-07T16:37:06.035961,2025-11-07T16:37:13.852319,http+vision,35,8
just-eve.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:37:14.294916,2025-11-07T16:37:35.041870,playwright,0,0
group.chantellelingerie.com,Pure Bodywear,0.7714285714285714,0.6928571428571428,0.85,bodywear:lingerie;generalist:home;vision_screenshot:0.85,1,,2025-11-07T16:37:35.421251,2025-11-07T16:37:37.901461,http+vision,9,0
ethel.it,Pure Bodywear,0.8355555555555555,0.8355555555555555,,"bodywear:lingerie,notte;generalist:giacche",0,,2025-11-07T16:37:38.230316,2025-11-07T16:37:39.145356,http,118,10
waeschemacher.de,Generalist,1.0,0.0,,,0,,2025-11-07T16:37:39.402320,2025-11-07T16:37:39.683884,http,16,5
dolores-cortes.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:37:39.951281,2025-11-07T16:37:43.252501,http,16,0
evabitzersilk.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:37:43.526925,2025-11-07T16:37:44.258658,http,83,8
furstenberg-fashion.de,Error,0.0,,,,0,Firecrawl API error: 500,2025-11-07T16:37:44.525294,2025-11-07T16:37:52.537399,,0,0
b2b-fashiondreams.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:37:52.813193,2025-11-07T16:37:53.237754,http,15,4
flaviavalentini.com,Pure Bodywear,0.8464285714285714,0.8464285714285714,,"bodywear:swimwear,loungewear,slip,costumi;generalist:accessori",0,,2025-11-07T16:37:53.501539,2025-11-07T16:37:54.360764,http,51,6
guess.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T16:37:54.635692,2025-11-07T16:38:00.535851,playwright,0,0
ilsejacobsen.com,Generalist,1.0,0.0,,"generalist:outerwear,coats,jackets",0,,2025-11-07T16:38:00.820923,2025-11-07T16:38:01.623664,http,147,10
lorenzport.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:38:01.879766,2025-11-07T16:38:08.760009,playwright,0,0
loiusaracq.com,Error,0.0,,,,0,Firecrawl API error: 503,2025-11-07T16:38:09.032572,2025-11-07T16:38:21.423980,,0,0
mooilo.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:38:21.765367,2025-11-07T16:38:25.915174,playwright,0,0
mydacapo.de,Bodywear Leaning,0.5,0.5549999999999999,0.1,"bodywear:bh,slips,dessous;generalist:accessoires;vision_screenshot:0.10",1,,2025-11-07T16:38:26.186887,2025-11-07T16:38:29.759513,http+vision,60,0
mt-trade-mark.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:38:30.037966,2025-11-07T16:39:11.256090,http,16,3
myjama.de,Bodywear Leaning,0.6025,0.5549999999999999,0.65,"bodywear:loungewear,pyjama;generalist:kinder;vision_screenshot:0.65",1,,2025-11-07T16:39:11.664193,2025-11-07T16:39:21.629692,http+vision,84,0
ninavonc.de,Pure Bodywear,0.8821428571428572,0.8821428571428572,,"bodywear:loungewear,bh,slips,string,hipster;generalist:home",0,,2025-11-07T16:39:21.945086,2025-11-07T16:39:22.361627,http,61,7
paindesucre.com,Pure Bodywear,0.8566666666666667,0.8566666666666667,,"bodywear:lingerie,maillots;generalist:maison",0,,2025-11-07T16:39:22.617734,2025-11-07T16:39:23.224522,http,6,8
teufl.cc,Generalist,1.0,0.0,,generalist:home,0,,2025-11-07T16:39:23.501990,2025-11-07T16:39:25.223307,http,26,3
newedition.nl,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:39:25.529438,2025-11-07T16:39:33.620799,playwright,0,0
rendl.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:39:34.001073,2025-11-07T16:39:35.140597,http,57,9
roidal.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:39:35.466533,2025-11-07T16:39:35.835194,http,13,10
roesch-fashion.de,Pure Bodywear,0.95,0.95,,"bodywear:pyjamas,loungewear,nachtwäsche,bademode",0,,2025-11-07T16:39:36.216423,2025-11-07T16:39:36.748457,http,102,10
